
Nom,Telefon,Direccio,Districte,Barri,Ciutat,Codi Postal,Regio,Pais,Lat,Lon,Web,
Base Nàutica Municipal de la Mar Bella,-,-----,Sant Martí,Poble Nou,BARCELONA,08005,BARCELONA,ESPANYA,40.64370160833333,1.8165979444444444,-----,
Reial Cercle Artístic - Institut Barcelonès d'Art,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38453696111111,2.174494388888889,-----,
 Té *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.cafeandte.com,
Natural Blend *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Vilaplana *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Dunkin Donuts *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.dunkindonuts.com,
Jamaica Coffee Shop *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.44077756666666,2.198467194444444,http://www.jamaicacoffeeshop.es,
Cafeteria Cafe Quijano *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Restaurant Bazaar *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Restaurant Taverna Sagardi-Euskal *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.sagardi.com,
Res. Pastafiore *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Restaurant Pitamanía *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Cerveseria Restaurant Gambrinus *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Restaurant Lizarran *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Restaurant TapasBar *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.tapasbar.es,
Restaurant La Granja *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Restaurant Cantina Mariachi *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.cantina-mariachi.com,
Cerveseria Restaurant El Fraile *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.elfraile.net,
Restaurant Trattoria Ginos *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.grupovips.com,
Bar Burger King *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Bar McDonald's *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
 Company *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,http://www.pansandcompany.com,
Happy Crack *La Maquinista,-,-----,Sant Andreu,el Bon Pastor,BARCELONA,08030,BARCELONA,ESPANYA,41.442532125,2.198353,-----,
Restaurant La Lluna,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38519257222222,2.1717846666666665,http://www.lallunarestaurant.com,
Bar Terra,-,-----,Sant Martí,el Parc i la Llacuna del Poblenou,BARCELONA,08005,BARCELONA,ESPANYA,41.394723633333335,2.1919009999999997,-----,
Hotel Intercontinental Princesa Sofía Barcelona,-,-----,Les Corts,la Maternitat i Sant Ramon,BARCELONA,08034,BARCELONA,ESPANYA,41.38652906944444,2.1231086944444444,http://www.expogrupo.com,
Restaurant Sugar Club *World Trade Center,-,-----,Ciutat Vella,el Raval,BARCELONA,08039,BARCELONA,ESPANYA,41.371059611111114,2.1823455833333334,http://www.sugarclub-barcelona.com,
Bar Restaurant O'Carballo,-,-----,Gràcia,el Camp d'en Grassot i Gràcia Nova,BARCELONA,08025,BARCELONA,ESPANYA,41.40547245,2.1646219444444443,-----,
